2009-08-07 18:00,23.53,122.20
2009-08-07 19:00,23.57,122.15
2009-08-07 20:00,23.60,122.10
2009-08-07 21:00,23.67,122.02
2009-08-07 22:00,23.73,121.93
2009-08-07 23:00,23.80,121.85
2009-08-08 00:00,23.87,121.77
2009-08-08 01:00,23.93,121.68
2009-08-08 02:00,24.00,121.60
2009-08-08 03:00,24.10,121.58
2009-08-08 04:00,24.20,121.57
2009-08-08 05:00,24.30,121.55
2009-08-08 06:00,24.40,121.53
2009-08-08 07:00,24.50,121.52
2009-08-08 08:00,24.60,121.50
2009-08-08 09:00,24.68,121.42
2009-08-08 10:00,24.77,121.33